alert_code,source,area_ha,year,biome,state,city,embargoed_areas,auto,fiscalizations,asvs,actions_final_situation,final_situation
553715,SAD-MATA-ATLANTICA,"0,5625",2022,MATA ATLANTICA,SANTA CATARINA,ROMELANDIA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
553719,SAD-MATA-ATLANTICA,"0,4859",2022,MATA ATLANTICA,SANTA CATARINA,CONCORDIA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
553784,SAD-MATA-ATLANTICA,"0,4301",2022,MATA ATLANTICA,SANTA CATARINA,IPUMIRIM,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
553806,SAD-MATA-ATLANTICA,"0,9185",2022,MATA ATLANTICA,SANTA CATARINA,BELMONTE,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
553976,SAD-MATA-ATLANTICA,"0,4074",2022,MATA ATLANTICA,SANTA CATARINA,SAO JOSE DO CERRITO,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554033,SAD-MATA-ATLANTICA,"0,8390",2022,MATA ATLANTICA,SANTA CATARINA,ANITA GARIBALDI,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554059,SAD-MATA-ATLANTICA,"0,2011",2022,MATA ATLANTICA,SANTA CATARINA,ALTO BELA VISTA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554082,SAD-MATA-ATLANTICA,"2,6286",2022,MATA ATLANTICA,SANTA CATARINA,AGUA DOCE,ALERTA COM EMBARGO FEDERAL,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA COM ACAO FEDERAL,ALERTA COM ACAO OU AUTORIZACAO
554107,SAD-MATA-ATLANTICA,"0,8239",2022,MATA ATLANTICA,SANTA CATARINA,TUNAPOLIS,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554130,SAD-MATA-ATLANTICA,"1,4105",2022,MATA ATLANTICA,SANTA CATARINA,IPIRA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554184,SAD-MATA-ATLANTICA,"0,4565",2022,MATA ATLANTICA,SANTA CATARINA,OURO VERDE,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
554282,SAD-MATA-ATLANTICA,"1,0856",2022,MATA ATLANTICA,SANTA CATARINA,PONTE SERRADA,ALERTA SEM EMBARGO,ALERTA SEM AUTO DE INFRACAO,ALERTA SEM FISCALIZACAO,ALERTA SEM AUTORIZACAO,ALERTA SEM ACAO,ALERTA SEM CRUZAMENTO COM ACAO OU AUTORIZACAO
