year,city,quantidade_registros,area_ha_total
2023,SAO JOAO DO OESTE,2,0.7178
2023,SAO JOAQUIM,3,4.3191
2023,SAO JOSE,4,10.7315
2023,SAO JOSE DO CEDRO,2,1.713
2023,SAO JOSE DO CERRITO,10,12.2746
2023,SAO LOURENCO DO OESTE,4,2.8388
2023,SAO LUDGERO,1,0.6057
2023,SAO MARTINHO,4,4.7685
2023,SAO MIGUEL DO OESTE,3,3.3744
2023,SEARA,2,1.5061
2023,SIDEROPOLIS,1,0.4752
2023,SUL BRASIL,3,5.45
2023,TAIO,1,3.6296
2023,TANGARA,4,4.3945
2023,TIGRINHOS,1,0.6692
2023,TIJUCAS,3,16.7886
2023,TREZE DE MAIO,1,1.1665
2023,TREZE TILIAS,1,0.7866
2023,TUNAPOLIS,2,1.3231
2023,UNIAO DO OESTE,1,1.7387
2023,URUSSANGA,4,5.3147
2023,VARGEAO,3,7.8001
2023,VARGEM,3,6.0463
2023,VARGEM BONITA,1,1.3195
2023,VIDAL RAMOS,3,3.3325
2023,VIDEIRA,2,6.2452
2023,XAVANTINA,2,2.0889
2023,XAXIM,1,0.6975
2023,ZORTEA,1,0.8913
2024,AGROLANDIA,1,1.5507
2024,AGRONOMICA,2,2.2381
2024,AGUA DOCE,2,7.0263
2024,AGUAS DE CHAPECO,1,0.4825
2024,ALFREDO WAGNER,4,6.9124
2024,ANCHIETA,3,3.1118
2024,ANGELINA,3,2.2213
2024,ANITA GARIBALDI,1,1.848
2024,APIUNA,2,17.9441
2024,ARAQUARI,5,18.6009
2024,ATALANTA,1,1.501
2024,AURORA,7,6.8635
2024,BALNEARIO BARRA DO SUL,1,1.8352
2024,BALNEARIO CAMBORIU,1,2.9261
2024,BALNEARIO PICARRAS,2,3.1706
2024,BANDEIRANTE,2,1.4437
2024,BELA VISTA DO TOLDO,2,3.9332
2024,BOCAINA DO SUL,2,3.2011
2024,BOM JARDIM DA SERRA,2,1.9619
2024,BOM RETIRO,3,20.5129
2024,BRUSQUE,3,6.7948
2024,CACADOR,3,5.4388
2024,CAIBI,2,1.1059
2024,CAMPO BELO DO SUL,2,2.1884
2024,CAMPO ERE,2,3.5198
2024,CAMPOS NOVOS,5,4.2099
2024,CANOINHAS,1,1.8148
2024,CAPAO ALTO,2,0.7811
2024,CELSO RAMOS,1,0.4729
2024,CHAPADAO DO LAGEADO,2,1.3001
2024,CHAPECO,1,2.0866
2024,COCAL DO SUL,1,0.6434
2024,CONCORDIA,3,7.9471
2024,CORREIA PINTO,1,0.4569
2024,CORUPA,1,1.0924
2024,CRICIUMA,2,6.7277
2024,CUNHA PORA,1,1.1517
2024,CURITIBANOS,2,2.5194
2024,DESCANSO,1,1.557
2024,DIONISIO CERQUEIRA,2,0.7166
2024,DOUTOR PEDRINHO,1,5.4583
2024,FAXINAL DOS GUEDES,4,8.1547
2024,FORQUILHINHA,2,5.6467
2024,FRAIBURGO,2,2.2179
2024,GALVAO,1,0.2349
2024,GARUVA,1,1.293
2024,GRAO-PARA,1,0.762
2024,GUABIRUBA,1,0.5101
2024,GUARACIABA,2,1.4081
2024,GUARAMIRIM,1,0.7898
2024,ICARA,1,3.8631
2024,IMBUIA,2,0.7977
2024,INDAIAL,2,3.6255
2024,IRANI,1,0.5872
2024,IRATI,1,0.4911
2024,ITAIOPOLIS,6,9.1165
2024,ITAJAI,9,21.6011
2024,ITAPOA,1,1.3212
2024,ITUPORANGA,4,6.6573
2024,JACINTO MACHADO,2,3.0951
2024,JARAGUA DO SUL,4,4.5555
2024,JOACABA,2,2.1641
2024,JOINVILLE,3,6.0209
2024,JOSE BOITEUX,1,0.4068
2024,JUPIA,1,0.9926
2024,LACERDOPOLIS,1,0.6358
2024,LAGES,1,0.898
2024,LAURO MULLER,1,0.9686
2024,LEBON REGIS,1,3.0525
2024,LONTRAS,2,1.1742
2024,MACIEIRA,1,1.7181
2024,MAFRA,7,8.4971
2024,MARACAJA,1,1.5307
2024,MARAVILHA,2,3.998
2024,MAREMA,1,0.4884
2024,MODELO,1,1.0109
2024,MONTE CASTELO,1,0.6449
2024,MORRO DA FUMACA,2,4.0223
2024,NAVEGANTES,1,1.0602
2024,NOVA ITABERABA,1,0.3581
2024,NOVA TRENTO,3,2.1456
2024,NOVO HORIZONTE,1,0.5769
2024,ORLEANS,2,1.6607
2024,OTACILIO COSTA,3,8.5906
2024,PALHOCA,1,0.8964
2024,PALMA SOLA,1,1.2245
2024,PALMEIRA,3,3.9294
2024,PALMITOS,2,2.0878
2024,PAPANDUVA,3,3.6245
2024,PASSOS MAIA,3,2.4263
2024,PEDRAS GRANDES,1,0.7706
2024,PERITIBA,2,1.3358
2024,PINHALZINHO,1,0.7511
2024,PIRATUBA,2,1.5762
2024,PONTE ALTA,3,4.6245
2024,PONTE SERRADA,1,2.2176
2024,PORTO UNIAO,3,2.1113
2024,POUSO REDONDO,2,1.4942
2024,PRESIDENTE GETULIO,2,1.9461
2024,PRESIDENTE NEREU,2,4.6987
2024,PRINCESA,1,0.4443
2024,RANCHO QUEIMADO,1,2.4386
2024,RIO DO CAMPO,3,9.8692
2024,RIO DO OESTE,4,8.2651
2024,RIO FORTUNA,4,2.4499
2024,RIO NEGRINHO,3,7.1105
2024,ROMELANDIA,2,1.5334
2024,SALTINHO,1,0.7449
2024,SANTA HELENA,1,1.0183
2024,SANTA ROSA DE LIMA,1,0.4356
2024,SANTA ROSA DO SUL,1,0.3256
2024,SANTA TEREZINHA,8,12.2653
2024,SANTA TEREZINHA DO PROGRESSO,1,0.6212
2024,SAO BERNARDINO,1,0.7303
2024,SAO BONIFACIO,1,0.9655
2024,SAO DOMINGOS,1,0.7674
2024,SAO FRANCISCO DO SUL,3,3.654
2024,SAO JOAO BATISTA,3,1.5204
2024,SAO JOAO DO ITAPERIU,1,1.6857
2024,SAO JOAO DO OESTE,1,0.4324
2024,SAO JOAQUIM,5,5.5494
2024,SAO JOSE DO CERRITO,8,7.6876
2024,SAO LOURENCO DO OESTE,2,0.7552
2024,SAO LUDGERO,1,0.6221
2024,SAO MARTINHO,3,1.6473
2024,SAO MIGUEL DO OESTE,1,1.6307
2024,SAO PEDRO DE ALCANTARA,1,1.6949
2024,SAUDADES,1,3.1893
2024,SCHROEDER,1,2.7124
2024,SIDEROPOLIS,1,3.1328
2024,SUL BRASIL,1,0.943
2024,TAIO,4,3.6666
2024,TANGARA,2,1.8675
2024,TIJUCAS,1,0.2666
2024,TIMBO,2,3.9659
2024,TREZE TILIAS,2,0.7228
2024,TURVO,1,0.9141
2024,URUPEMA,1,0.3046
2024,URUSSANGA,3,2.7725
2024,VARGEAO,1,1.0471
2024,VARGEM,1,1.3581
2024,VARGEM BONITA,1,0.47
2024,VIDAL RAMOS,4,6.572
2024,VIDEIRA,2,1.5436
2024,VITOR MEIRELES,1,1.5685
2024,XANXERE,1,0.1936
