year,city,quantidade_total_uc,area_total_desmat
2023,SAO JOAO BATISTA,0,12.8644
2023,SAO JOAO DO OESTE,0,0.7178
2023,SAO JOAQUIM,1,4.3191
2023,SAO JOSE,2,10.7315
2023,SAO JOSE DO CEDRO,0,1.713
2023,SAO JOSE DO CERRITO,0,12.2746
2023,SAO LOURENCO DO OESTE,0,2.8388
2023,SAO LUDGERO,0,0.6057
2023,SAO MARTINHO,0,4.7685
2023,SAO MIGUEL DO OESTE,0,3.3744
2023,SEARA,0,1.5061
2023,SIDEROPOLIS,0,0.4752
2023,SUL BRASIL,0,5.45
2023,TAIO,0,3.6296
2023,TANGARA,0,4.3945
2023,TIGRINHOS,0,0.6692
2023,TIJUCAS,0,16.7886
2023,TREZE DE MAIO,0,1.1665
2023,TREZE TILIAS,0,0.7866
2023,TUNAPOLIS,0,1.3231
2023,UNIAO DO OESTE,0,1.7387
2023,URUSSANGA,1,5.3147
2023,VARGEAO,0,7.8001
2023,VARGEM,0,6.0463
2023,VARGEM BONITA,2,1.3195
2023,VIDAL RAMOS,2,3.3325
2023,VIDEIRA,1,6.2452
2023,XAVANTINA,0,2.0889
2023,XAXIM,0,0.6975
2023,ZORTEA,0,0.8913
2024,AGROLANDIA,0,1.5507
2024,AGRONOMICA,0,2.2381
2024,AGUA DOCE,2,7.0263
2024,AGUAS DE CHAPECO,0,0.4825
2024,ALFREDO WAGNER,4,6.9124
2024,ANCHIETA,0,3.1118
2024,ANGELINA,0,2.2213
2024,ANITA GARIBALDI,0,1.848
2024,APIUNA,2,17.9441
2024,ARAQUARI,0,18.6009
2024,ATALANTA,1,1.501
2024,AURORA,0,6.8635
2024,BALNEARIO BARRA DO SUL,1,1.8352
2024,BALNEARIO CAMBORIU,3,2.9261
2024,BALNEARIO PICARRAS,1,3.1706
2024,BANDEIRANTE,0,1.4437
2024,BELA VISTA DO TOLDO,1,3.9332
2024,BOCAINA DO SUL,1,3.2011
2024,BOM JARDIM DA SERRA,1,1.9619
2024,BOM RETIRO,6,20.5129
2024,BRUSQUE,3,6.7948
2024,CACADOR,1,5.4388
2024,CAIBI,0,1.1059
2024,CAMPO BELO DO SUL,1,2.1884
2024,CAMPO ERE,1,3.5198
2024,CAMPOS NOVOS,1,4.2099
2024,CANOINHAS,0,1.8148
2024,CAPAO ALTO,0,0.7811
2024,CELSO RAMOS,0,0.4729
2024,CHAPADAO DO LAGEADO,0,1.3001
2024,CHAPECO,1,2.0866
2024,COCAL DO SUL,0,0.6434
2024,CONCORDIA,1,7.9471
2024,CORREIA PINTO,0,0.4569
2024,CORUPA,1,1.0924
2024,CRICIUMA,3,6.7277
2024,CUNHA PORA,0,1.1517
2024,CURITIBANOS,0,2.5194
2024,DESCANSO,0,1.557
2024,DIONISIO CERQUEIRA,0,0.7166
2024,DOUTOR PEDRINHO,1,5.4583
2024,FAXINAL DOS GUEDES,0,8.1547
2024,FORQUILHINHA,0,5.6467
2024,FRAIBURGO,0,2.2179
2024,GALVAO,0,0.2349
2024,GARUVA,1,1.293
2024,GRAO-PARA,0,0.762
2024,GUABIRUBA,0,0.5101
2024,GUARACIABA,0,1.4081
2024,GUARAMIRIM,2,0.7898
2024,HERVAL D'OESTE,0,7.0043
2024,ICARA,0,3.8631
2024,IMBUIA,1,0.7977
2024,INDAIAL,0,3.6255
2024,IRANI,0,0.5872
2024,IRATI,0,0.4911
2024,ITAIOPOLIS,10,9.1165
2024,ITAJAI,8,21.6011
2024,ITAPOA,4,1.3212
2024,ITUPORANGA,1,6.6573
2024,JACINTO MACHADO,0,3.0951
2024,JARAGUA DO SUL,1,4.5555
2024,JOACABA,1,2.1641
2024,JOINVILLE,9,6.0209
2024,JOSE BOITEUX,0,0.4068
2024,JUPIA,0,0.9926
2024,LACERDOPOLIS,0,0.6358
2024,LAGES,1,0.898
2024,LAURO MULLER,0,0.9686
2024,LEBON REGIS,0,3.0525
2024,LONTRAS,0,1.1742
2024,MACIEIRA,0,1.7181
2024,MAFRA,0,8.4971
2024,MARACAJA,0,1.5307
2024,MARAVILHA,0,3.998
2024,MAREMA,0,0.4884
2024,MODELO,0,1.0109
2024,MONTE CASTELO,0,0.6449
2024,MORRO DA FUMACA,0,4.0223
2024,NAVEGANTES,1,1.0602
2024,NOVA ITABERABA,0,0.3581
2024,NOVA TRENTO,5,2.1456
2024,NOVO HORIZONTE,0,0.5769
2024,ORLEANS,0,1.6607
2024,OTACILIO COSTA,0,8.5906
2024,PALHOCA,1,0.8964
2024,PALMA SOLA,0,1.2245
2024,PALMEIRA,0,3.9294
2024,PALMITOS,0,2.0878
2024,PAPANDUVA,0,3.6245
2024,PASSOS MAIA,1,2.4263
2024,PEDRAS GRANDES,0,0.7706
2024,PERITIBA,0,1.3358
2024,PINHALZINHO,0,0.7511
2024,PIRATUBA,1,1.5762
2024,PONTE ALTA,0,4.6245
2024,PONTE SERRADA,0,2.2176
2024,PORTO UNIAO,3,2.1113
2024,POUSO REDONDO,0,1.4942
2024,PRESIDENTE GETULIO,0,1.9461
2024,PRESIDENTE NEREU,0,4.6987
2024,PRINCESA,0,0.4443
2024,RANCHO QUEIMADO,1,2.4386
2024,RIO DO CAMPO,0,9.8692
2024,RIO DO OESTE,0,8.2651
2024,RIO FORTUNA,0,2.4499
2024,RIO NEGRINHO,4,7.1105
2024,ROMELANDIA,0,1.5334
2024,SALTINHO,0,0.7449
2024,SANTA HELENA,0,1.0183
2024,SANTA ROSA DE LIMA,1,0.4356
2024,SANTA ROSA DO SUL,0,0.3256
2024,SANTA TEREZINHA,0,12.2653
2024,SANTA TEREZINHA DO PROGRESSO,0,0.6212
2024,SAO BERNARDINO,0,0.7303
2024,SAO BONIFACIO,0,0.9655
2024,SAO DOMINGOS,1,0.7674
2024,SAO FRANCISCO DO SUL,3,3.654
2024,SAO JOAO BATISTA,0,1.5204
2024,SAO JOAO DO ITAPERIU,0,1.6857
2024,SAO JOAO DO OESTE,0,0.4324
2024,SAO JOAQUIM,1,5.5494
2024,SAO JOSE DO CERRITO,0,7.6876
2024,SAO LOURENCO DO OESTE,0,0.7552
2024,SAO LUDGERO,0,0.6221
2024,SAO MARTINHO,0,1.6473
2024,SAO MIGUEL DO OESTE,0,1.6307
2024,SAO PEDRO DE ALCANTARA,1,1.6949
2024,SAUDADES,0,3.1893
2024,SCHROEDER,1,2.7124
2024,SIDEROPOLIS,0,3.1328
2024,SUL BRASIL,0,0.943
2024,TAIO,0,3.6666
2024,TANGARA,0,1.8675
2024,TIJUCAS,0,0.2666
2024,TIMBO,1,3.9659
2024,TREZE TILIAS,0,0.7228
2024,TURVO,0,0.9141
2024,URUPEMA,1,0.3046
2024,URUSSANGA,1,2.7725
2024,VARGEAO,0,1.0471
2024,VARGEM,0,1.3581
2024,VARGEM BONITA,2,0.47
2024,VIDAL RAMOS,2,6.572
2024,VIDEIRA,1,1.5436
2024,VITOR MEIRELES,1,1.5685
2024,XANXERE,0,0.1936
